"","Para_True","Para_Esti_Mean","Para_Esti_SD","RB","SB","RMSE","CR"
"lambda1",0.2,0.2002,0.0045,0.075,3.3139,0.0045,0.942
"lambda2",0.7,0.7001,0.0082,0.0092,0.7822,0.0082,0.949
"p1",0.8,0.7998,0.004,-0.0198,3.9736,0.004,0.951
"p2",0.9,0.8999,0.0028,-0.0056,1.7629,0.0028,0.964
"t11",0.65,0.6501,0.0046,0.0157,2.217,0.0046,0.956
"t21",0.8,0.7999,0.0039,-0.0075,1.5203,0.0039,0.949
"t31",0.9,0.9,0.0031,-8e-04,0.2444,0.0031,0.947
"t12",0.5,0.5002,0.0051,0.0498,4.9189,0.0051,0.946
"t22",0.8,0.8001,0.004,0.0083,1.6843,0.004,0.951
"t32",0.9,0.9001,0.0029,0.0151,4.6054,0.0029,0.965
"rho12",0.0172,0.0192,0.0101,11.4387,19.4985,0.0103,0.94
"rho13",-0.0619,-0.0653,0.0113,5.5005,30.1577,0.0118,0.897
"rho14",0.046,0.0422,0.0089,-8.2717,42.861,0.0097,0.954
"rho15",-0.0962,-0.0894,0.0085,-7.0206,79.3474,0.0109,0.934
"rho16",-0.105,-0.1003,0.0089,-4.4997,53.2841,0.01,0.943
"rho23",-0.0405,-0.041,0.0101,1.2009,4.8073,0.0101,0.935
"rho24",-0.0672,-0.0704,0.0106,4.7719,30.2889,0.0111,0.926
"rho25",0.1549,0.1629,0.0101,5.1578,79.4716,0.0128,0.857
"rho26",0.1468,0.1518,0.0103,3.414,48.6152,0.0115,0.908
"rho34",0.0897,0.0901,0.0116,0.4804,3.7224,0.0116,0.909
"rho35",0.0209,0.0206,0.0096,-1.6406,3.5571,0.0096,0.954
"rho36",-0.108,-0.1076,0.0109,-0.3318,3.2733,0.0109,0.925
"rho45",0.0681,0.0682,0.0084,0.1301,1.0568,0.0084,0.984
"rho46",0.1476,0.1476,0.0079,-0.0328,0.6162,0.0079,0.987
"rho56",-0.0526,-0.0525,0.0097,-0.1999,1.0807,0.0097,0.964
